elapse (ns), size, refs/vals, permutation, type, i
196000, 2, refs, rand, Synth, 5
133000, 2, refs, rand, Synth, 6
132000, 2, refs, rand, Synth, 7
153000, 2, refs, rand, Synth, 8
110000, 2, refs, rand, Synth, 9
195000, 2, refs, rand, Stencil, 0
177000, 2, refs, rand, Stencil, 1
177000, 2, refs, rand, Stencil, 2
177000, 2, refs, rand, Stencil, 3
176000, 2, refs, rand, Stencil, 4
176000, 2, refs, rand, Stencil, 5
175000, 2, refs, rand, Stencil, 6
177000, 2, refs, rand, Stencil, 7
177000, 2, refs, rand, Stencil, 8
167000, 2, refs, rand, Stencil, 9
134000, 4, refs, linear, Flow, 0
161000, 4, refs, linear, Flow, 1
159000, 4, refs, linear, Flow, 2
131000, 4, refs, linear, Flow, 3
198000, 4, refs, linear, Flow, 4
182000, 4, refs, linear, Flow, 5
166000, 4, refs, linear, Flow, 6
122000, 4, refs, linear, Flow, 7
155000, 4, refs, linear, Flow, 8
174000, 4, refs, linear, Flow, 9
88000, 4, refs, linear, Native, 0
93000, 4, refs, linear, Native, 1
92000, 4, refs, linear, Native, 2
97000, 4, refs, linear, Native, 3
111000, 4, refs, linear, Native, 4
119000, 4, refs, linear, Native, 5
85000, 4, refs, linear, Native, 6
113000, 4, refs, linear, Native, 7
94000, 4, refs, linear, Native, 8
112000, 4, refs, linear, Native, 9
136000, 4, refs, linear, Synth, 0
142000, 4, refs, linear, Synth, 1
107000, 4, refs, linear, Synth, 2
112000, 4, refs, linear, Synth, 3
115000, 4, refs, linear, Synth, 4
112000, 4, refs, linear, Synth, 5
112000, 4, refs, linear, Synth, 6
151000, 4, refs, linear, Synth, 7
126000, 4, refs, linear, Synth, 8
126000, 4, refs, linear, Synth, 9
235000, 4, refs, linear, Stencil, 0
200000, 4, refs, linear, Stencil, 1
201000, 4, refs, linear, Stencil, 2
275000, 4, refs, linear, Stencil, 3
197000, 4, refs, linear, Stencil, 4
175000, 4, refs, linear, Stencil, 5
486000, 4, refs, linear, Stencil, 6
165000, 4, refs, linear, Stencil, 7
195000, 4, refs, linear, Stencil, 8
208000, 4, refs, linear, Stencil, 9
99000, 4, refs, rand, Flow, 0
99000, 4, refs, rand, Flow, 1
126000, 4, refs, rand, Flow, 2
99000, 4, refs, rand, Flow, 3
127000, 4, refs, rand, Flow, 4
124000, 4, refs, rand, Flow, 5
125000, 4, refs, rand, Flow, 6
138000, 4, refs, rand, Flow, 7
134000, 4, refs, rand, Flow, 8
125000, 4, refs, rand, Flow, 9
86000, 4, refs, rand, Native, 0
86000, 4, refs, rand, Native, 1
80000, 4, refs, rand, Native, 2
127000, 4, refs, rand, Native, 3
80000, 4, refs, rand, Native, 4
106000, 4, refs, rand, Native, 5
107000, 4, refs, rand, Native, 6
105000, 4, refs, rand, Native, 7
105000, 4, refs, rand, Native, 8
106000, 4, refs, rand, Native, 9
123000, 4, refs, rand, Synth, 0
122000, 4, refs, rand, Synth, 1
141000, 4, refs, rand, Synth, 2
122000, 4, refs, rand, Synth, 3
123000, 4, refs, rand, Synth, 4
119000, 4, refs, rand, Synth, 5
122000, 4, refs, rand, Synth, 6
122000, 4, refs, rand, Synth, 7
122000, 4, refs, rand, Synth, 8
122000, 4, refs, rand, Synth, 9
193000, 4, refs, rand, Stencil, 0
193000, 4, refs, rand, Stencil, 1
208000, 4, refs, rand, Stencil, 2
196000, 4, refs, rand, Stencil, 3
190000, 4, refs, rand, Stencil, 4
269000, 4, refs, rand, Stencil, 5
191000, 4, refs, rand, Stencil, 6
192000, 4, refs, rand, Stencil, 7
191000, 4, refs, rand, Stencil, 8
192000, 4, refs, rand, Stencil, 9
133000, 8, refs, linear, Flow, 0
235000, 8, refs, linear, Flow, 1
172000, 8, refs, linear, Flow, 2
188000, 8, refs, linear, Flow, 3
182000, 8, refs, linear, Flow, 4
115000, 8, refs, linear, Flow, 5
170000, 8, refs, linear, Flow, 6
116000, 8, refs, linear, Flow, 7
156000, 8, refs, linear, Flow, 8
160000, 8, refs, linear, Flow, 9
74000, 8, refs, linear, Native, 0
77000, 8, refs, linear, Native, 1
78000, 8, refs, linear, Native, 2
73000, 8, refs, linear, Native, 3
75000, 8, refs, linear, Native, 4
76000, 8, refs, linear, Native, 5
120000, 8, refs, linear, Native, 6
117000, 8, refs, linear, Native, 7
119000, 8, refs, linear, Native, 8
76000, 8, refs, linear, Native, 9
162000, 8, refs, linear, Synth, 0
108000, 8, refs, linear, Synth, 1
107000, 8, refs, linear, Synth, 2
148000, 8, refs, linear, Synth, 3
148000, 8, refs, linear, Synth, 4
113000, 8, refs, linear, Synth, 5
151000, 8, refs, linear, Synth, 6
150000, 8, refs, linear, Synth, 7
151000, 8, refs, linear, Synth, 8
148000, 8, refs, linear, Synth, 9
260000, 8, refs, linear, Stencil, 0
259000, 8, refs, linear, Stencil, 1
260000, 8, refs, linear, Stencil, 2
259000, 8, refs, linear, Stencil, 3
288000, 8, refs, linear, Stencil, 4
222000, 8, refs, linear, Stencil, 5
215000, 8, refs, linear, Stencil, 6
215000, 8, refs, linear, Stencil, 7
216000, 8, refs, linear, Stencil, 8
226000, 8, refs, linear, Stencil, 9
112000, 8, refs, rand, Flow, 0
153000, 8, refs, rand, Flow, 1
114000, 8, refs, rand, Flow, 2
223000, 8, refs, rand, Flow, 3
161000, 8, refs, rand, Flow, 4
167000, 8, refs, rand, Flow, 5
139000, 8, refs, rand, Flow, 6
94000, 8, refs, rand, Flow, 7
140000, 8, refs, rand, Flow, 8
138000, 8, refs, rand, Flow, 9
118000, 8, refs, rand, Native, 0
119000, 8, refs, rand, Native, 1
119000, 8, refs, rand, Native, 2
119000, 8, refs, rand, Native, 3
115000, 8, refs, rand, Native, 4
118000, 8, refs, rand, Native, 5
117000, 8, refs, rand, Native, 6
75000, 8, refs, rand, Native, 7
117000, 8, refs, rand, Native, 8
74000, 8, refs, rand, Native, 9
150000, 8, refs, rand, Synth, 0
165000, 8, refs, rand, Synth, 1
117000, 8, refs, rand, Synth, 2
