STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,   MIN  ,PRCP  ,SNDP , FRSHTT,
725090,14739, 20060424,   45.3,24,   42.3,24, 1011.5,20, 9999.9, 0,   6.7,24,   8.4,24,  15.9, 999.9,   48.0 ,   43.0 , 0.68G,999.9, 010000,
725090,14739, 20060425,   54.5,24,   42.5,24, 1006.0,24, 9999.9, 0,   9.5,24,   9.6,24,  20.0,  27.0,   70.0 ,   44.1 , 0.01G,999.9, 010000,
725090,14739, 20060426,   48.1,24,   24.6,24, 1010.7,24, 9999.9, 0,  10.0,24,  11.6,24,  18.1,  23.9,   59.0*,   37.4*, 0.02G,999.9, 010000,
725090,14739, 20060427,   48.5,24,   34.0,24, 1010.2,24, 9999.9, 0,  10.0,24,  11.9,24,  18.1,  22.0,   60.1 ,   37.9 , 0.00G,999.9, 000000,
725090,14739, 20060428,   46.3,24,   33.6,24, 1021.1,24, 9999.9, 0,  10.0,24,   9.7,24,  14.0, 999.9,   48.9*,   42.8*, 0.00I,999.9, 000000,
725090,14739, 20060429,   46.5,24,   29.2,24, 1029.9,24, 9999.9, 0,  10.0,24,   9.3,24,  15.9, 999.9,   55.0 ,   39.0 , 0.00I,999.9, 000000,
725090,14739, 20060430,   49.0,24,   26.9,24, 1030.8,24, 9999.9, 0,  10.0,24,   7.0,24,  13.0, 999.9,   55.9 ,   39.9 , 0.00I,999.9, 000000,
725090,14739, 20060501,   50.0,24,   30.4,24, 1029.5,24, 9999.9, 0,  10.0,24,  12.2,24,  21.0,  27.0,   55.9 ,   44.1 , 0.00I,999.9, 000000,
725090,14739, 20060502,   45.5,24,   42.1,24, 1017.9,19, 9999.9, 0,   6.0,24,  17.2,24,  21.0,  27.0,   55.0 ,   44.1 , 0.47G,999.9, 010000,
725090,14739, 20060503,   46.8,24,   46.2,24, 1011.9,14, 9999.9, 0,   2.6,24,  12.2,24,  15.9, 999.9,   50.0 ,   44.1 , 0.53G,999.9, 010000,
725090,14739, 20060504,   58.3,24,   52.3,24, 1009.2,20, 9999.9, 0,   8.3,24,   8.2,24,  12.0, 999.9,   71.1 ,   45.0 , 0.18G,999.9, 010000,
725090,14739, 20060505,   65.5,24,   48.5,24, 1005.4,24, 9999.9, 0,   9.8,24,   6.1,24,  12.0,  18.1,   80.6*,   57.0*, 0.00G,999.9, 000000,
725090,14739, 20060506,   63.5,24,   41.9,24, 1006.7,24, 9999.9, 0,  10.0,24,   7.5,24,   9.9, 999.9,   80.1 ,   55.0 , 0.00I,999.9, 000000,
725090,14739, 20060507,   54.5,24,   34.3,24, 1016.0,24, 9999.9, 0,  10.0,24,  10.8,24,  15.9,  22.9,   68.0 ,   46.0 , 0.00I,999.9, 000000,
725090,14739, 20060508,   52.6,24,   37.5,24, 1022.3,24, 9999.9, 0,  10.0,24,   7.6,24,  12.0, 999.9,   61.0 ,   46.0 , 0.00I,999.9, 000000,
725090,14739, 20060509,   49.7,24,   39.5,24, 1018.4,21, 9999.9, 0,   8.0,24,  14.5,24,  26.0,  35.0,   57.9 ,   46.0 , 0.90B,999.9, 010000,
725090,14739, 20060510,   46.9,15,   46.5,15, 1012.7, 7, 9999.9, 0,   3.7,15,  18.4,15,  21.0,  28.0,   48.2*,   46.4*, 0.40B,999.9, 010000,
725090,14739, 20060511,   48.6,24,   47.3,24, 1014.2,13, 9999.9, 0,   2.3,24,   7.9,24,  13.0, 999.9,   51.8*,   46.4*, 0.21G,999.9, 110000,
725090,14739, 20060512,   48.6,24,   48.2,24, 1013.9,20, 9999.9, 0,   0.2,24,  10.7,24,  14.0, 999.9,   50.0*,   46.4*, 0.08G,999.9, 110000,
725090,14739, 20060513,   48.8,22,   48.5,22, 1014.8, 8, 9999.9, 0,   1.2,22,  12.4,22,  15.9, 999.9,   50.0*,   46.4*, 0.95G,999.9, 110000,
725090,14739, 20060514,   46.9,24,   46.8,24, 1018.6,14, 9999.9, 0,   2.6,24,  13.1,24,  19.0,  22.9,   50.0 ,   46.0 , 4.35G,999.9, 010000,
725090,14739, 20060515,   48.4,24,   48.1,24, 1017.6,14, 9999.9, 0,   2.2,24,  11.5,24,  16.9, 999.9,   50.0 ,   46.0 , 2.93G,999.9, 110000,
725090,14739, 20060516,   50.5,23,   49.7,23, 1005.6,14, 9999.9, 0,   3.2,23,   7.7,23,  16.9,  22.0,   55.9 ,   48.0 , 0.38G,999.9, 110000,
725090,14739, 20060517,   58.3,24,   48.4,24,  999.9,24, 9999.9, 0,   9.7,24,  11.8,24,  15.0,  20.0,   69.1 ,   48.0 , 0.25G,999.9, 000000,
725090,14739, 20060518,   62.8,24,   49.3,24,  998.2,24, 9999.9, 0,   9.0,24,  10.3,24,  19.0,  25.1,   75.9 ,   50.0 , 0.00G,999.9, 000000,
725090,14739, 20060519,   59.1,24,   52.6,24,  998.8,16, 9999.9, 0,   6.4,24,  10.3,24,  22.9,  28.9,   75.9 ,   52.0 , 0.03G,999.9, 110010,
725090,14739, 20060520,   58.0,24,   45.7,24, 1000.6,24, 9999.9, 0,   9.7,24,  14.1,24,  22.9,  29.9,   68.0 ,   50.0 , 0.44G,999.9, 010010,
725090,14739, 20060521,   57.8,24,   41.5,24, 1002.2,23, 9999.9, 0,  10.0,24,  13.1,24,  28.0,  48.0,   68.0 ,   46.9 , 0.00G,999.9, 010010,
725090,14739, 20060522,   53.4,24,   37.6,24, 1003.3,24, 9999.9, 0,  10.0,24,  15.1,24,  20.0,  29.9,   66.2*,   44.6*, 0.11G,999.9, 000000,
725090,14739, 20060523,   53.3,24,   36.2,24, 1010.3,24, 9999.9, 0,  10.0,24,  13.5,24,  20.0,  26.0,   63.0 ,   46.0 , 0.00G,999.9, 000000,
725090,14739, 20060524,   56.8,24,   41.5,24, 1012.6,24, 9999.9, 0,  10.0,24,  10.0,24,  13.0,  18.1,   66.2*,   51.8*, 0.00A,999.9, 000000,
725090,14739, 20060525,   59.4,24,   46.1,24, 1012.4,24, 9999.9, 0,  10.0,24,   6.4,24,  15.9, 999.9,   77.0 ,   46.9 , 0.00A,999.9, 000000,
725090,14739, 20060526,   65.0,24,   53.9,24, 1006.3,19, 9999.9, 0,   8.4,24,   7.7,24,  13.0,  18.1,   78.1 ,   46.9 , 0.27B,999.9, 010010,
725090,14739, 20060527,   66.4,24,   62.2,24, 1005.9,19, 9999.9, 0,   4.2,24,   4.0,24,   9.9, 999.9,   78.1 ,   57.9 , 0.00H,999.9, 110000,
725090,14739, 20060528,   66.7,24,   55.5,24, 1017.8,24, 9999.9, 0,   9.3,24,   6.0,24,  11.1, 999.9,   73.9 ,   60.1 , 0.00I,999.9, 000000,
725090,14739, 20060529,   70.3,24,   58.4,24, 1018.1,24, 9999.9, 0,   7.5,24,   7.1,24,   9.9, 999.9,   84.0 ,   62.1 , 0.00I,999.9, 000000,
725090,14739, 20060530,   64.7,24,   57.4,24, 1019.8,24, 9999.9, 0,   7.3,24,   8.8,24,  15.0, 999.9,   73.9*,   55.4*, 0.00I,999.9, 000000,
725090,14739, 20060531,   59.5,24,   54.7,24, 1021.7,18, 9999.9, 0,   5.4,24,   6.7,24,  14.0, 999.9,   75.2*,   53.6*, 0.00I,999.9, 000000,
725090,14739, 20060601,   74.8,24,   61.9,24, 1014.8,24, 9999.9, 0,   8.9,24,  10.2,24,  14.0,  18.1,   89.6*,   64.4*, 0.00H,999.9, 010010,
725090,14739, 20060602,   67.2,24,   62.9,24, 1011.8,17, 9999.9, 0,   5.6,24,   6.5,24,  12.0, 999.9,   72.0*,   60.8*, 0.14G,999.9, 010000,
725090,14739, 20060603,   57.0,24,   54.7,24, 1009.3,17, 9999.9, 0,   6.1,24,   8.0,24,  15.9,  19.0,   71.1 ,   53.1 , 0.95G,999.9, 010000,
725090,14739, 20060604,   55.5,24,   51.9,24, 1006.5,18, 9999.9, 0,   7.1,24,  13.3,24,  20.0,  26.0,   60.8*,   51.8*, 1.77G,999.9, 010000,
725090,14739, 20060605,   61.5,24,   52.9,24, 1010.0,23, 9999.9, 0,  10.0,24,   6.2,24,  12.0,  15.0,   70.0 ,   52.0 , 0.02G,999.9, 000000,
725090,14739, 20060606,   60.5,24,   54.7,24, 1015.9,24, 9999.9, 0,  10.0,24,   5.6,24,  11.1, 999.9,   70.0 ,   55.9 , 0.00G,999.9, 000000,
725090,14739, 20060607,   55.8,24,   54.0,24, 1013.7,15, 9999.9, 0,   5.1,24,  15.9,24,  29.9,  39.0,   64.9 ,   53.1 , 0.68G,999.9, 010000,
725090,14739, 20060608,   55.0,24,   53.7,24, 1006.5,17, 9999.9, 0,   5.3,24,  10.6,24,  21.0,  23.9,   60.8*,   51.8*, 2.18G,999.9, 010000,
725090,14739, 20060609,   59.8,24,   56.8,24, 1007.0,19, 9999.9, 0,   6.8,24,   5.2,24,   8.9, 999.9,   63.0 ,   52.0 , 0.18G,999.9, 010000,
725090,14739, 20060610,   59.3,24,   56.7,24,  996.5,17, 9999.9, 0,   5.2,24,   8.6,24,  19.0,  23.9,   63.0 ,   57.0 , 0.09G,999.9, 010000,
725090,14739, 20060611,   60.2,24,   48.9,24,  999.5,24, 9999.9, 0,   9.9,24,  13.2,24,  18.1,  23.9,   73.0 ,   52.0 , 0.40G,999.9, 010000,
725090,14739, 20060612,   66.5,24,   53.9,24, 1008.1,24, 9999.9, 0,  10.0,24,   9.8,24,  14.0,  20.0,   77.0 ,   52.0 , 0.00G,999.9, 000000,
725090,14739, 20060613,   69.1,24,   57.6,24, 1012.7,24, 9999.9, 0,  10.0,24,   6.4,24,  11.1, 999.9,   77.0 ,   57.9 , 0.00I,999.9, 000000,
725090,14739, 20060614,   67.9,24,   60.3,24, 1014.8,24, 9999.9, 0,   9.9,24,   6.3,24,  13.0, 999.9,   73.9 ,   62.1 , 0.00I,999.9, 000000,
725090,14739, 20060615,   66.4,24,   55.5,24, 1009.3,22, 9999.9, 0,   8.9,24,   9.6,24,  14.0,  21.0,   78.8*,   60.1*, 0.08G,999.9, 010000,
725090,14739, 20060616,   71.4,24,   51.4,24, 1016.1,24, 9999.9, 0,  10.0,24,   8.6,24,  12.0,  15.9,   80.6*,   62.1*, 0.02G,999.9, 000000,
725090,14739, 20060617,   75.9,24,   55.6,24, 1017.8,24, 9999.9, 0,  10.0,24,   9.1,24,  15.0,  22.0,   84.9 ,   61.0 , 0.00G,999.9, 000000,
725090,14739, 20060618,   74.4,24,   63.2,24, 1016.0,24, 9999.9, 0,   8.5,24,   7.9,24,  14.0,  20.0,   91.4*,   64.4*, 0.00A,999.9, 000000,
725090,14739, 20060619,   81.3,24,   65.2,24, 1011.6,24, 9999.9, 0,   5.9,24,   9.7,24,  20.0,  25.1,   93.0 ,   64.0 , 0.00I,999.9, 000000,
725090,14739, 20060620,   75.4,24,   64.1,24, 1009.5,24, 9999.9, 0,   8.3,24,   8.8,24,  14.0,  36.9,   93.0 ,   69.1 , 0.37B,999.9, 010000,
725090,14739, 20060621,   71.4,24,   55.3,24, 1015.7,24, 9999.9, 0,  10.0,24,   8.8,24,  12.0,  16.9,   78.8*,   64.4*, 0.00H,999.9, 010010,
725090,14739, 20060622,   72.2,24,   60.4,24, 1017.5,24, 9999.9, 0,   9.4,24,   8.4,24,  18.1,  21.0,   82.4*,   62.6*, 0.00I,999.9, 000000,
725090,14739, 20060623,   72.7,24,   65.8,24, 1015.8,22, 9999.9, 0,   4.0,24,   7.4,24,  13.0,  18.1,   84.9 ,   63.0 , 1.35A,999.9, 110010,
725090,14739, 20060624,   67.7,24,   65.6,24, 1018.6,16, 9999.9, 0,   2.7,24,   4.1,24,   7.0, 999.9,   71.6*,   64.4*, 0.70D,999.9, 110000,
725090,14739, 20060625,   64.3,24,   63.0,24, 1021.2,20, 9999.9, 0,   1.1,24,   4.1,24,   7.0, 999.9,   66.2*,   62.6*, 0.82D,999.9, 110000,
725090,14739, 20060626,   70.6,24,   64.7,24, 1021.7,23, 9999.9, 0,   4.5,24,   7.0,24,  15.0,  20.0,   82.9 ,   62.1 , 0.13B,999.9, 110000,
725090,14739, 20060627,   76.2,24,   66.3,24, 1023.8,23, 9999.9, 0,   9.3,24,  11.2,24,  16.9,  21.0,   84.0 ,   63.0 , 0.00I,999.9, 000000,
725090,14739, 20060628,   72.0,24,   67.2,24, 1020.2,17, 9999.9, 0,   8.7,24,  11.0,24,  20.0,  28.0,   84.0 ,   68.0 , 0.05B,999.9, 010000,
725090,14739, 20060629,   72.7,24,   68.3,24, 1016.4,21, 9999.9, 0,   6.1,24,   8.3,24,  13.0, 999.9,   78.1 ,   68.0 , 0.00A,999.9, 000000,
725090,14739, 20060630,   73.6,24,   62.3,24, 1011.9,20, 9999.9, 0,   7.3,24,  10.6,24,  16.9,  21.0,   80.6*,   64.4*, 0.13G,999.9, 010010,
725090,14739, 20060701,   75.3,24,   54.7,24, 1016.8,24, 9999.9, 0,  10.0,24,  10.9,24,  19.0,  22.9,   84.9 ,   66.0 , 0.00G,999.9, 000000,
725090,14739, 20060702,   77.3,24,   62.6,24, 1014.0,24, 9999.9, 0,   8.2,24,  14.2,24,  20.0,  27.0,   87.8*,   69.8*, 0.00A,999.9, 000000,
725090,14739, 20060703,   78.6,24,   61.7,24, 1014.0,24, 9999.9, 0,   9.1,24,  10.2,24,  14.0,  15.9,   87.1 ,   66.9 , 0.00I,999.9, 000000,
725090,14739, 20060704,   75.7,24,   66.0,24, 1013.5,24, 9999.9, 0,   7.3,24,   6.9,24,  13.0, 999.9,   88.0 ,   66.9 , 0.00H,999.9, 010000,
725090,14739, 20060705,   76.2,24,   65.3,24, 1010.8,24, 9999.9, 0,   6.5,24,   8.4,24,  12.0, 999.9,   88.0 ,   68.0 , 0.00A,999.9, 000000,
725090,14739, 20060706,   71.2,24,   61.5,24, 1014.4,24, 9999.9, 0,   9.4,24,   6.6,24,   9.9, 999.9,   77.0*,   64.4*, 0.15G,999.9, 010000,
725090,14739, 20060707,   71.2,24,   55.0,24, 1020.2,24, 9999.9, 0,   9.9,24,   5.8,24,   9.9, 999.9,   81.0*,   62.6*, 0.00G,999.9, 000000,
725090,14739, 20060708,   73.1,24,   59.0,24, 1022.3,24, 9999.9, 0,  10.0,24,   5.4,24,   9.9, 999.9,   82.9 ,   63.0 , 0.00I,999.9, 000000,
725090,14739, 20060709,   73.6,24,   60.6,24, 1016.4,24, 9999.9, 0,  10.0,24,   5.8,24,  12.0,  16.9,   88.0 ,   62.1 , 0.00I,999.9, 000000,
725090,14739, 20060710,   75.7,24,   61.6,24, 1016.4,24, 9999.9, 0,   9.1,24,  11.5,24,  20.0,  26.0,   88.0 ,   62.1 , 0.00I,999.9, 000000,
725090,14739, 20060711,   74.7,24,   66.1,24, 1018.5,22, 9999.9, 0,   8.1,24,   9.2,24,  15.0,  19.0,   87.1 ,   66.9 , 0.02A,999.9, 010010,
725090,14739, 20060712,   72.3,24,   67.3,24, 1018.0,19, 9999.9, 0,   4.2,24,   5.7,24,  13.0,  16.9,   84.0 ,   66.0 , 0.88C,999.9, 110000,
725090,14739, 20060713,   70.2,24,   66.5,24, 1011.5,18, 9999.9, 0,   6.1,24,   8.1,24,  13.0,  19.0,   80.1 ,   64.0 , 0.31D,999.9, 010000,
725090,14739, 20060714,   77.1,24,   63.9,24, 1014.0,24, 9999.9, 0,   9.9,24,   6.3,24,   9.9, 999.9,   91.4*,   66.2*, 0.00A,999.9, 000000,
725090,14739, 20060715,   79.1,24,   65.6,24, 1013.2,24, 9999.9, 0,  10.0,24,   8.4,24,  13.0, 999.9,   91.9 ,   66.9 , 0.00I,999.9, 000000,
725090,14739, 20060716,   76.0,24,   67.4,24, 1012.9,24, 9999.9, 0,   9.2,24,   5.9,24,   8.0, 999.9,   89.1 ,   68.0 , 0.00I,999.9, 000000,
725090,14739, 20060717,   79.3,24,   69.2,24, 1012.9,24, 9999.9, 0,   8.2,24,   5.6,24,   9.9, 999.9,   91.9 ,   68.0 , 0.00I,999.9, 000000,
725090,14739, 20060718,   84.8,24,   68.9,24, 1011.9,24, 9999.9, 0,   9.2,24,   8.4,24,  13.0,  16.9,   96.8*,   73.4*, 0.00I,999.9, 000000,
